identifier1	identifier2	judgment	comment	annotator	lemma
22_бог_54290	22_бог_45414	3.0	comment	georg_lonsh	бог
22_бог_54290	22_бог_57426	2.0	comment	raskolrus	бог
22_бог_54290	22_бог_19576	3.0	comment	erykov1234	бог
22_бог_21669	22_бог_28830	4.0	comment	erykov1234	бог
22_бог_21669	22_бог_6152	2.0	comment	erykov1234	бог
22_бог_21669	22_бог_63741	2.0	comment	erykov1234	бог
22_бог_21669	22_бог_52488	2.0	comment	raskolrus	бог
22_бог_21669	22_бог_16754	3.0	comment	erykov1234	бог
22_бог_21669	22_бог_45414	2.0	comment	erykov1234	бог
22_бог_21669	22_бог_63741	2.0	comment	raskolrus	бог
22_бог_21669	22_бог_21320	2.0	comment	erykov1234	бог
22_бог_21669	22_бог_61714	2.0	comment	erykov1234	бог
22_бог_63741	22_бог_6152	3.0	comment	erykov1234	бог
22_бог_63741	22_бог_39382	3.0	comment	erykov1234	бог
22_бог_63928	22_бог_38133	4.0	comment	raskolrus	бог
22_бог_63928	22_бог_29561	2.0	comment	georg_lonsh	бог
22_бог_63928	22_бог_61740	2.0	comment	raskolrus	бог
22_бог_63928	22_бог_28830	3.0	comment	georg_lonsh	бог
22_бог_57370	22_бог_64791	3.0	comment	georg_lonsh	бог
22_бог_57370	22_бог_60128	3.0	comment	erykov1234	бог
22_бог_57370	22_бог_7613	3.0	comment	erykov1234	бог
22_бог_57370	22_бог_61740	3.0	comment	erykov1234	бог
22_бог_57370	22_бог_52488	3.0	comment	erykov1234	бог
22_бог_28830	22_бог_28735	4.0	comment	erykov1234	бог
22_бог_28830	22_бог_45414	4.0	comment	georg_lonsh	бог
22_бог_28830	22_бог_60128	3.0	comment	georg_lonsh	бог
22_бог_28830	22_бог_61714	4.0	comment	georg_lonsh	бог
22_бог_28830	22_бог_42594	3.0	comment	raskolrus	бог
22_бог_44503	22_бог_52488	4.0	comment	raskolrus	бог
22_бог_44503	22_бог_63928	3.0	comment	erykov1234	бог
22_бог_44503	22_бог_23785	3.0	comment	georg_lonsh	бог
22_бог_44503	22_бог_57426	3.0	comment	raskolrus	бог
22_бог_44503	22_бог_9855	3.0	comment	erykov1234	бог
22_бог_44503	22_бог_61740	3.0	comment	erykov1234	бог
22_бог_7613	22_бог_7063	4.0	comment	erykov1234	бог
22_бог_7613	22_бог_44503	4.0	comment	raskolrus	бог
22_бог_7613	22_бог_23746	3.0	comment	georg_lonsh	бог
22_бог_7613	22_бог_63928	3.0	comment	erykov1234	бог
22_бог_7613	22_бог_284	4.0	comment	raskolrus	бог
22_бог_7613	22_бог_57370	2.0	comment	raskolrus	бог
22_бог_7613	22_бог_39382	3.0	comment	raskolrus	бог
22_бог_7613	22_бог_33857	3.0	comment	georg_lonsh	бог
22_бог_7063	22_бог_6152	4.0	comment	raskolrus	бог
22_бог_7063	22_бог_61740	4.0	comment	raskolrus	бог
22_бог_7063	22_бог_42594	4.0	comment	raskolrus	бог
22_бог_7063	22_бог_64791	4.0	comment	georg_lonsh	бог
22_бог_7063	22_бог_33857	3.0	comment	erykov1234	бог
22_бог_7063	22_бог_9855	4.0	comment	raskolrus	бог
22_бог_7063	22_бог_21320	3.0	comment	erykov1234	бог
22_бог_61714	22_бог_29561	2.0	comment	raskolrus	бог
22_бог_61714	22_бог_19635	2.0	comment	raskolrus	бог
22_бог_9855	22_бог_44503	4.0	comment	raskolrus	бог
22_бог_9855	22_бог_19635	3.0	comment	georg_lonsh	бог
22_бог_9855	22_бог_28830	4.0	comment	raskolrus	бог
22_бог_9855	22_бог_54290	4.0	comment	raskolrus	бог
22_бог_9855	22_бог_7613	3.0	comment	erykov1234	бог
22_бог_9855	22_бог_7613	3.0	comment	georg_lonsh	бог
22_бог_9855	22_бог_7613	4.0	comment	raskolrus	бог
22_бог_45414	22_бог_284	2.0	comment	raskolrus	бог
22_бог_19635	22_бог_16754	2.0	comment	raskolrus	бог
22_бог_19635	22_бог_23746	3.0	comment	georg_lonsh	бог
22_бог_19635	22_бог_284	1.0	comment	erykov1234	бог
22_бог_19635	22_бог_19576	3.0	comment	georg_lonsh	бог
22_бог_19635	22_бог_28830	2.0	comment	raskolrus	бог
22_бог_29561	22_бог_21669	3.0	comment	erykov1234	бог
22_бог_29561	22_бог_28830	2.0	comment	raskolrus	бог
22_бог_61740	22_бог_29561	2.0	comment	georg_lonsh	бог
22_бог_61740	22_бог_39382	4.0	comment	georg_lonsh	бог
22_бог_61740	22_бог_33857	4.0	comment	georg_lonsh	бог
22_бог_61740	22_бог_29554	0.0	comment	raskolrus	бог
22_бог_61740	22_бог_19635	3.0	comment	georg_lonsh	бог
22_бог_61740	22_бог_57426	4.0	comment	georg_lonsh	бог
22_время_198733	22_время_468987	4.0	comment	raskolrus	время
22_время_198733	22_время_98466	2.0	comment	raskolrus	время
22_время_198733	22_время_406861	3.0	comment	georg_lonsh	время
22_время_198733	22_время_575012	1.0	comment	erykov1234	время
22_время_168131	22_время_98466	4.0	comment	raskolrus	время
22_время_168131	22_время_50617	4.0	comment	georg_lonsh	время
22_время_168131	22_время_470634	2.0	comment	raskolrus	время
22_время_168131	22_время_104034	2.0	comment	raskolrus	время
22_время_168131	22_время_66730	3.0	comment	georg_lonsh	время
22_время_539421	22_время_168131	2.0	comment	erykov1234	время
22_время_539421	22_время_533593	3.0	comment	raskolrus	время
22_время_539421	22_время_113814	3.0	comment	raskolrus	время
22_время_539421	22_время_406861	2.0	comment	raskolrus	время
22_время_539421	22_время_426416	3.0	comment	raskolrus	время
22_время_468987	22_время_31378	4.0	comment	erykov1234	время
22_время_468987	22_время_406861	1.0	comment	erykov1234	время
22_время_468987	22_время_591875	3.0	comment	georg_lonsh	время
22_время_468987	22_время_508502	2.0	comment	erykov1234	время
22_время_468987	22_время_247417	3.0	comment	raskolrus	время
22_время_468987	22_время_139665	2.0	comment	raskolrus	время
22_время_468987	22_время_540073	3.0	comment	raskolrus	время
22_время_468987	22_время_575012	3.0	comment	georg_lonsh	время
22_время_468987	22_время_470634	1.0	comment	erykov1234	время
22_время_468987	22_время_62059	3.0	comment	raskolrus	время
22_время_468987	22_время_335859	2.0	comment	raskolrus	время
22_время_468987	22_время_356459	1.0	comment	erykov1234	время
22_время_575012	22_время_104034	1.0	comment	erykov1234	время
22_время_575012	22_время_86389	1.0	comment	erykov1234	время
22_время_575012	22_время_539421	2.0	comment	raskolrus	время
22_время_575012	22_время_264969	3.0	comment	georg_lonsh	время
22_время_575012	22_время_591875	2.0	comment	raskolrus	время
22_время_575012	22_время_596482	1.0	comment	erykov1234	время
22_время_295949	22_время_203164	3.0	comment	erykov1234	время
22_время_295949	22_время_571016	3.0	comment	georg_lonsh	время
22_время_295949	22_время_575012	3.0	comment	georg_lonsh	время
22_время_295949	22_время_104034	3.0	comment	erykov1234	время
22_время_295949	22_время_104034	3.0	comment	georg_lonsh	время
22_время_295949	22_время_113814	3.0	comment	georg_lonsh	время
22_время_104034	22_время_507180	2.0	comment	raskolrus	время
22_время_104034	22_время_31378	2.0	comment	raskolrus	время
22_время_104034	22_время_539421	3.0	comment	georg_lonsh	время
22_время_104034	22_время_86389	3.0	comment	erykov1234	время
22_время_470634	22_время_98466	4.0	comment	georg_lonsh	время
22_время_470634	22_время_356459	2.0	comment	raskolrus	время
22_время_470634	22_время_31378	1.0	comment	erykov1234	время
22_время_470634	22_время_203164	3.0	comment	raskolrus	время
22_время_470634	22_время_198733	4.0	comment	erykov1234	время
22_время_62059	22_время_508502	3.0	comment	raskolrus	время
22_время_62059	22_время_266980	3.0	comment	georg_lonsh	время
22_время_62059	22_время_129708	3.0	comment	georg_lonsh	время
22_время_62059	22_время_583856	2.0	comment	erykov1234	время
22_время_62059	22_время_66730	3.0	comment	raskolrus	время
22_время_62059	22_время_335859	1.0	comment	erykov1234	время
22_время_266980	22_время_426416	3.0	comment	raskolrus	время
22_время_266980	22_время_468987	3.0	comment	raskolrus	время
22_время_266980	22_время_507180	1.0	comment	erykov1234	время
22_время_266980	22_время_113814	2.0	comment	raskolrus	время
22_время_266980	22_время_507180	2.0	comment	raskolrus	время
22_время_266980	22_время_540073	3.0	comment	raskolrus	время
22_время_266980	22_время_86389	3.0	comment	georg_lonsh	время
22_время_266980	22_время_571016	2.0	comment	raskolrus	время
22_время_31378	22_время_356459	2.0	comment	raskolrus	время
22_время_31378	22_время_575012	3.0	comment	georg_lonsh	время
22_время_31378	22_время_468987	4.0	comment	georg_lonsh	время
22_время_31378	22_время_247417	4.0	comment	erykov1234	время
22_время_31378	22_время_507180	2.0	comment	raskolrus	время
22_время_31378	22_время_591875	3.0	comment	georg_lonsh	время
22_время_31378	22_время_139665	4.0	comment	georg_lonsh	время
22_время_508502	22_время_198733	4.0	comment	erykov1234	время
22_время_508502	22_время_113814	3.0	comment	raskolrus	время
22_время_508502	22_время_168131	4.0	comment	erykov1234	время
22_время_508502	22_время_129708	2.0	comment	raskolrus	время
22_время_508502	22_время_335859	4.0	comment	georg_lonsh	время
22_время_203164	22_время_86389	1.0	comment	erykov1234	время
22_время_203164	22_время_575012	1.0	comment	erykov1234	время
22_время_203164	22_время_31378	4.0	comment	raskolrus	время
22_время_203164	22_время_66730	3.0	comment	georg_lonsh	время
22_время_203164	22_время_66730	1.0	comment	erykov1234	время
22_время_203164	22_время_507180	1.0	comment	erykov1234	время
22_время_203164	22_время_571016	3.0	comment	erykov1234	время
22_время_203164	22_время_266980	1.0	comment	erykov1234	время
22_время_203164	22_время_203090	2.0	comment	raskolrus	время
22_время_203164	22_время_66730	3.0	comment	raskolrus	время
22_время_247417	22_время_356459	3.0	comment	erykov1234	время
22_время_247417	22_время_168131	2.0	comment	georg_lonsh	время
22_время_247417	22_время_540073	1.0	comment	erykov1234	время
22_время_247417	22_время_426416	4.0	comment	erykov1234	время
22_время_247417	22_время_104034	4.0	comment	georg_lonsh	время
22_время_247417	22_время_139665	1.0	comment	erykov1234	время
22_время_596482	22_время_468987	4.0	comment	georg_lonsh	время
22_время_596482	22_время_539421	1.0	comment	erykov1234	время
22_время_596482	22_время_86389	1.0	comment	erykov1234	время
22_время_596482	22_время_50617	1.0	comment	erykov1234	время
22_время_596482	22_время_470634	1.0	comment	erykov1234	время
22_время_596482	22_время_507180	2.0	comment	raskolrus	время
22_время_596482	22_время_62059	3.0	comment	erykov1234	время
22_время_596482	22_время_426416	3.0	comment	erykov1234	время
22_время_596482	22_время_31378	2.0	comment	raskolrus	время
22_время_139665	22_время_86389	3.0	comment	georg_lonsh	время
22_время_139665	22_время_426416	3.0	comment	erykov1234	время
22_время_583856	22_время_508502	3.0	comment	raskolrus	время
22_время_583856	22_время_406861	3.0	comment	georg_lonsh	время
22_время_583856	22_время_247417	4.0	comment	raskolrus	время
22_время_583856	22_время_539421	3.0	comment	georg_lonsh	время
22_время_583856	22_время_426416	4.0	comment	raskolrus	время
22_время_583856	22_время_203164	3.0	comment	georg_lonsh	время
22_время_583856	22_время_508502	4.0	comment	georg_lonsh	время
22_время_509704	22_время_539421	3.0	comment	georg_lonsh	время
22_время_509704	22_время_247417	4.0	comment	georg_lonsh	время
22_время_509704	22_время_203090	3.0	comment	erykov1234	время
22_время_509704	22_время_591875	2.0	comment	raskolrus	время
22_время_509704	22_время_98466	2.0	comment	raskolrus	время
22_время_509704	22_время_203164	3.0	comment	raskolrus	время
22_время_509704	22_время_86389	1.0	comment	erykov1234	время
22_время_571016	22_время_509704	1.0	comment	erykov1234	время
22_время_571016	22_время_264969	2.0	comment	georg_lonsh	время
22_время_571016	22_время_583856	3.0	comment	georg_lonsh	время
22_время_571016	22_время_129708	3.0	comment	erykov1234	время
22_время_571016	22_время_508502	2.0	comment	raskolrus	время
22_время_571016	22_время_591875	3.0	comment	georg_lonsh	время
22_время_507180	22_время_426416	3.0	comment	raskolrus	время
22_время_507180	22_время_470634	3.0	comment	georg_lonsh	время
22_время_507180	22_время_295949	4.0	comment	raskolrus	время
22_время_507180	22_время_335859	3.0	comment	georg_lonsh	время
22_время_507180	22_время_583856	3.0	comment	erykov1234	время
22_время_507180	22_время_591875	1.0	comment	erykov1234	время
22_время_507180	22_время_62059	2.0	comment	raskolrus	время
22_время_507180	22_время_406861	3.0	comment	georg_lonsh	время
22_время_507180	22_время_104034	1.0	comment	erykov1234	время
22_время_203090	22_время_596482	3.0	comment	georg_lonsh	время
22_время_203090	22_время_509704	2.0	comment	raskolrus	время
22_время_203090	22_время_468987	2.0	comment	raskolrus	время
22_время_98466	22_время_247417	2.0	comment	raskolrus	время
22_время_98466	22_время_129708	3.0	comment	georg_lonsh	время
22_время_98466	22_время_575012	2.0	comment	raskolrus	время
22_время_98466	22_время_247417	1.0	comment	erykov1234	время
22_время_426416	22_время_86389	2.0	comment	raskolrus	время
22_время_426416	22_время_509704	3.0	comment	raskolrus	время
22_время_50617	22_время_470634	4.0	comment	raskolrus	время
22_время_50617	22_время_335859	2.0	comment	raskolrus	время
22_время_50617	22_время_507180	3.0	comment	raskolrus	время
22_время_50617	22_время_203090	2.0	comment	raskolrus	время
22_время_50617	22_время_426416	1.0	comment	erykov1234	время
22_время_50617	22_время_406861	3.0	comment	raskolrus	время
22_время_50617	22_время_406861	2.0	comment	erykov1234	время
22_время_50617	22_время_575012	3.0	comment	georg_lonsh	время
22_время_50617	22_время_104034	2.0	comment	raskolrus	время
22_время_406861	22_время_139665	2.0	comment	raskolrus	время
22_время_406861	22_время_509704	3.0	comment	georg_lonsh	время
22_время_406861	22_время_86389	3.0	comment	raskolrus	время
22_время_406861	22_время_540073	4.0	comment	raskolrus	время
22_время_406861	22_время_203090	1.0	comment	erykov1234	время
22_время_406861	22_время_203164	1.0	comment	erykov1234	время
22_время_406861	22_время_113814	1.0	comment	erykov1234	время
22_время_406861	22_время_31378	2.0	comment	raskolrus	время
22_время_533593	22_время_168131	1.0	comment	erykov1234	время
22_время_533593	22_время_571016	4.0	comment	georg_lonsh	время
22_время_533593	22_время_591875	1.0	comment	erykov1234	время
22_время_533593	22_время_540073	4.0	comment	raskolrus	время
22_время_533593	22_время_583856	4.0	comment	georg_lonsh	время
22_время_533593	22_время_356459	2.0	comment	raskolrus	время
22_время_533593	22_время_66730	3.0	comment	georg_lonsh	время
22_время_533593	22_время_31378	3.0	comment	raskolrus	время
22_время_533593	22_время_426416	4.0	comment	georg_lonsh	время
22_время_533593	22_время_198733	4.0	comment	georg_lonsh	время
22_время_533593	22_время_470634	4.0	comment	georg_lonsh	время
22_время_533593	22_время_507180	1.0	comment	erykov1234	время
22_время_540073	22_время_508502	3.0	comment	raskolrus	время
22_время_540073	22_время_507180	3.0	comment	raskolrus	время
22_время_540073	22_время_66730	2.0	comment	raskolrus	время
22_время_540073	22_время_139665	2.0	comment	raskolrus	время
22_время_540073	22_время_203164	3.0	comment	raskolrus	время
22_время_591875	22_время_247417	4.0	comment	georg_lonsh	время
22_время_591875	22_время_356459	3.0	comment	georg_lonsh	время
22_время_591875	22_время_62059	2.0	comment	raskolrus	время
22_время_591875	22_время_247417	1.0	comment	erykov1234	время
22_время_591875	22_время_470634	2.0	comment	raskolrus	время
22_время_66730	22_время_591875	1.0	comment	erykov1234	время
22_время_66730	22_время_129708	2.0	comment	raskolrus	время
22_время_66730	22_время_426416	2.0	comment	raskolrus	время
22_время_66730	22_время_62059	3.0	comment	georg_lonsh	время
22_время_66730	22_время_264969	1.0	comment	erykov1234	время
22_время_66730	22_время_468987	4.0	comment	georg_lonsh	время
22_время_66730	22_время_356459	2.0	comment	raskolrus	время
22_время_66730	22_время_539421	4.0	comment	georg_lonsh	время
22_время_66730	22_время_470634	3.0	comment	erykov1234	время
22_время_335859	22_время_583856	0.0	comment	erykov1234	время
22_время_335859	22_время_66730	2.0	comment	raskolrus	время
22_время_335859	22_время_406861	2.0	comment	raskolrus	время
22_время_335859	22_время_86389	2.0	comment	georg_lonsh	время
22_время_335859	22_время_203164	2.0	comment	raskolrus	время
22_время_335859	22_время_356459	3.0	comment	georg_lonsh	время
22_время_335859	22_время_50617	4.0	comment	georg_lonsh	время
22_время_264969	22_время_50617	1.0	comment	erykov1234	время
22_время_264969	22_время_508502	2.0	comment	raskolrus	время
22_время_264969	22_время_540073	2.0	comment	raskolrus	время
22_время_264969	22_время_335859	2.0	comment	raskolrus	время
22_время_113814	22_время_533593	2.0	comment	raskolrus	время
22_время_113814	22_время_507180	3.0	comment	raskolrus	время
22_время_113814	22_время_31378	4.0	comment	georg_lonsh	время
22_время_113814	22_время_203164	4.0	comment	erykov1234	время
22_время_113814	22_время_591875	3.0	comment	raskolrus	время
22_время_113814	22_время_98466	1.0	comment	erykov1234	время
22_время_129708	22_время_198733	2.0	comment	raskolrus	время
22_время_129708	22_время_104034	3.0	comment	raskolrus	время
22_время_129708	22_время_198733	3.0	comment	georg_lonsh	время
22_время_129708	22_время_533593	3.0	comment	georg_lonsh	время
22_время_129708	22_время_139665	2.0	comment	raskolrus	время
22_время_129708	22_время_406861	3.0	comment	georg_lonsh	время
22_время_129708	22_время_509704	2.0	comment	raskolrus	время
22_время_129708	22_время_508502	3.0	comment	georg_lonsh	время
22_время_86389	22_время_62059	1.0	comment	erykov1234	время
22_время_86389	22_время_335859	2.0	comment	raskolrus	время
22_время_86389	22_время_507180	3.0	comment	georg_lonsh	время
22_время_86389	22_время_539421	1.0	comment	erykov1234	время
22_время_356459	22_время_540073	2.0	comment	raskolrus	время
22_время_356459	22_время_50617	2.0	comment	raskolrus	время
22_время_356459	22_время_596482	2.0	comment	raskolrus	время
22_год_110831	22_год_24299	4.0	comment	erykov1234	год
22_год_110831	22_год_793336	3.0	comment	raskolrus	год
22_год_110831	22_год_196908	3.0	comment	raskolrus	год
22_год_110831	22_год_340952	0.0	comment	georg_lonsh	год
22_год_110831	22_год_39559	4.0	comment	georg_lonsh	год
22_год_110831	22_год_67014	3.0	comment	georg_lonsh	год
22_год_110831	22_год_564756	4.0	comment	erykov1234	год
22_год_110831	22_год_327286	4.0	comment	georg_lonsh	год
22_год_24500	22_год_597845	3.0	comment	raskolrus	год
22_год_24500	22_год_702269	3.0	comment	raskolrus	год
22_год_626263	22_год_67014	0.0	comment	georg_lonsh	год
22_год_626263	22_год_340952	2.0	comment	raskolrus	год
22_год_626263	22_год_196908	1.0	comment	erykov1234	год
22_год_626263	22_год_653238	2.0	comment	raskolrus	год
22_год_626263	22_год_24500	2.0	comment	raskolrus	год
22_год_626263	22_год_632108	2.0	comment	raskolrus	год
22_год_626263	22_год_597845	3.0	comment	georg_lonsh	год
22_год_626263	22_год_433410	1.0	comment	erykov1234	год
22_год_399278	22_год_632108	4.0	comment	erykov1234	год
22_год_399278	22_год_728876	0.0	comment	georg_lonsh	год
22_год_399278	22_год_110831	4.0	comment	erykov1234	год
22_год_399278	22_год_528067	3.0	comment	raskolrus	год
22_год_399278	22_год_340952	2.0	comment	raskolrus	год
22_год_399278	22_год_433410	1.0	comment	erykov1234	год
22_год_67014	22_год_667126	1.0	comment	erykov1234	год
22_год_67014	22_год_714271	3.0	comment	georg_lonsh	год
22_год_67014	22_год_702269	1.0	comment	erykov1234	год
22_год_67014	22_год_626263	0.0	comment	raskolrus	год
22_год_67014	22_год_39559	3.0	comment	raskolrus	год
22_год_67014	22_год_597845	4.0	comment	erykov1234	год
22_год_67014	22_год_269325	3.0	comment	georg_lonsh	год
22_год_714271	22_год_24299	4.0	comment	erykov1234	год
22_год_714271	22_год_196908	1.0	comment	erykov1234	год
22_год_714271	22_год_525446	0.0	comment	raskolrus	год
22_год_714271	22_год_61891	3.0	comment	raskolrus	год
22_год_714271	22_год_24299	0.0	comment	georg_lonsh	год
22_год_714271	22_год_399278	4.0	comment	erykov1234	год
22_год_525446	22_год_39559	0.0	comment	georg_lonsh	год
22_год_525446	22_год_433410	0.0	comment	erykov1234	год
22_год_525446	22_год_686858	0.0	comment	erykov1234	год
22_год_525446	22_год_61891	0.0	comment	georg_lonsh	год
